Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
72	20.803	11.777	9.634	14.370	737.928	216000.000	170.997	0.215	1496.170	8.500
73	20.823	11.773	9.987	14.198	737.928	216000.000	171.147	0.213	1492.500	8.400
74	20.817	11.769	10.404	14.400	737.928	216000.000	172.718	0.208	1490.400	8.200
75	20.806	11.751	10.834	14.740	737.928	216000.000	171.145	0.211	1481.450	8.300
76	20.813	11.767	10.826	15.198	737.928	216000.000	175.258	0.203	1493.200	8.000
77	20.824	11.783	10.927	15.062	737.928	216000.000	175.507	0.206	1504.240	8.100
78	20.876	11.791	10.722	14.834	737.928	216000.000	173.952	0.214	1517.450	8.400
79	20.890	11.792	9.998	14.613	737.928	216000.000	177.184	0.202	1518.250	8.000
80	20.889	11.796	9.508	14.981	737.928	216000.000	178.487	0.200	1527.210	8.000
81	20.886	11.782	9.098	15.525	737.928	216000.000	178.567	0.196	1516.690	7.900
82	20.870	11.787	9.355	15.424	737.928	216000.000	177.941	0.199	1518.160	8.000
83	20.877	11.796	9.954	14.893	737.928	216000.000	178.502	0.201	1527.640	8.000
84	20.890	11.800	10.095	13.794	737.928	216000.000	177.541	0.206	1535.190	8.100
85	20.877	11.797	10.148	13.579	737.928	216000.000	179.934	0.199	1534.860	7.800
86	20.842	11.798	10.131	13.609	737.928	216000.000	180.953	0.197	1534.170	7.700
87	20.892	11.794	10.150	13.629	737.928	216000.000	175.327	0.211	1531.870	8.300
88	20.892	11.771	9.877	13.131	737.928	216000.000	174.057	0.208	1516.290	8.200
89	20.858	11.771	10.073	13.130	737.928	216000.000	175.580	0.204	1513.090	8.000
90	20.847	11.775	10.294	13.378	737.928	216000.000	174.399	0.209	1515.330	8.200
91	20.867	11.779	9.873	13.501	737.928	216000.000	174.839	0.208	1519.230	8.200
92	20.859	11.760	9.433	13.643	737.928	216000.000	175.303	0.202	1507.060	8.000
93	20.819	11.730	9.026	14.173	737.928	216000.000	173.551	0.200	1485.750	8.000
94	20.815	11.727	8.732	14.443	737.928	216000.000	173.727	0.196	1477.630	7.900
95	20.802	11.695	8.341	14.739	737.928	216000.000	174.700	0.186	1453.750	7.500
96	20.855	11.696	9.166	15.881	737.928	216000.000	174.943	0.184	1444.410	7.400
97	20.850	11.672	10.406	15.830	737.928	216000.000	171.797	0.188	1424.300	7.500
98	20.837	11.687	11.329	15.073	737.928	216000.000	174.401	0.185	1430.760	7.200
99	20.826	11.674	11.435	13.531	737.928	216000.000	170.267	0.192	1417.770	7.400
100	20.842	11.670	10.790	12.856	737.928	216000.000	167.086	0.196	1408.330	7.600
101	20.868	11.687	10.479	12.066	737.928	216000.000	166.898	0.199	1421.690	7.700
102	20.854	11.681	10.512	12.830	737.928	216000.000	165.560	0.202	1417.910	7.900
103	20.836	11.681	10.283	14.259	737.928	216000.000	169.331	0.191	1411.040	7.500
104	20.815	11.691	9.975	15.386	737.928	216000.000	171.739	0.186	1416.490	7.400
105	20.870	11.708	9.654	15.435	737.928	216000.000	174.525	0.181	1429.860	7.200
106	20.876	11.703	9.239	15.404	737.928	216000.000	172.714	0.185	1428.020	7.400
107	20.867	11.705	9.435	15.079	737.928	216000.000	175.162	0.177	1424.230	7.000
108	20.857	11.696	9.842	14.289	737.928	216000.000	174.648	0.177	1417.900	6.900
109	20.870	11.710	10.077	13.984	737.928	216000.000	174.926	0.178	1422.310	6.900
110	20.896	11.688	10.063	13.198	737.928	216000.000	171.282	0.183	1411.130	7.100
111	20.883	11.681	10.605	12.242	737.928	216000.000	168.710	0.188	1400.750	7.200
112	20.862	11.707	11.105	11.757	737.928	216000.000	169.154	0.194	1419.790	7.400
113	20.836	11.697	10.719	12.511	737.928	216000.000	170.599	0.188	1412.590	7.200
114	20.875	11.709	10.271	14.693	737.928	216000.000	172.828	0.184	1419.730	7.200
115	20.835	11.693	9.845	15.568	737.928	216000.000	172.008	0.184	1411.770	7.300
116	20.810	11.709	9.653	15.420	737.928	216000.000	173.608	0.182	1418.010	7.200
117	20.818	11.700	9.057	14.606	737.928	216000.000	173.066	0.179	1412.530	7.100
118	20.845	11.683	8.553	14.738	737.928	216000.000	172.467	0.174	1395.490	6.900
119	20.849	11.686	9.166	14.985	737.928	216000.000	173.965	0.171	1394.140	6.700
120	20.828	11.671	10.355	14.338	737.928	216000.000	173.454	0.170	1380.110	6.500
121	20.813	11.662	11.394	14.332	737.928	216000.000	170.486	0.176	1366.330	6.700
122	20.818	11.663	11.585	13.574	737.928	216000.000	169.557	0.178	1363.070	6.700
123	20.868	11.681	10.634	12.589	737.928	216000.000	166.684	0.185	1372.340	7.100
124	20.853	11.687	10.048	12.212	737.928	216000.000	165.281	0.191	1381.370	7.400
125	20.829	11.693	10.131	11.750	737.928	216000.000	166.109	0.190	1383.520	7.300
126	20.823	11.691	9.611	12.614	737.928	216000.000	168.406	0.183	1384.530	7.100
127	20.837	11.696	9.103	15.045	737.928	216000.000	174.235	0.167	1381.920	6.500
128	20.851	11.706	9.282	16.233	737.928	216000.000	176.483	0.164	1388.070	6.400
129	20.823	11.694	9.592	15.855	737.928	216000.000	175.184	0.167	1384.360	6.500
130	20.804	11.703	10.036	15.706	737.928	216000.000	178.069	0.161	1382.930	6.100
131	20.866	11.699	10.040	15.165	737.928	216000.000	177.268	0.160	1377.410	6.000
132	20.886	11.693	9.467	13.765	737.928	216000.000	173.677	0.166	1375.100	6.300
133	20.890	11.684	10.233	13.364	737.928	216000.000	172.276	0.168	1365.840	6.300
